MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,CloudCover,Evaporation,Sunshine,WindSpeed_9am,WindSpeed_3pm,Humidity_9am,Humidity_3pm,Pressure_9am,Pressure_3pm,RainToday
2.8,22.8,ENE,86.1,55.5,997.3,10.5,5.8,4.3,0.2,48.7,3.1,58.3,16.1,1019.9,1026.7,No
0.9,21.0,E,48.6,49.4,991.2,6.4,1.0,0.2,0.2,41.5,48.0,53.7,59.2,1003.9,1016.0,No
14.6,36.9,W,91.7,98.7,980.8,10.1,82.7,3.3,6.8,22.6,3.5,68.9,41.9,1016.2,1027.4,Yes
2.1,25.8,ENE,43.3,94.3,1016.7,26.5,91.7,6.7,4.2,47.5,41.5,61.5,90.0,1023.3,998.2,Yes
17.0,21.1,SW,36.6,95.0,1014.2,10.9,7.0,9.8,12.1,38.5,25.5,37.0,91.8,994.2,989.0,No
20.7,40.5,WNW,55.3,72.2,987.5,11.1,10.9,6.5,5.3,42.0,25.7,85.5,44.5,1019.9,988.4,No
4.0,18.8,ENE,66.8,57.8,1013.5,28.4,4.2,2.8,3.8,6.5,12.1,77.8,14.9,983.5,994.8,No
10.9,18.3,S,38.7,11.8,986.1,29.1,37.6,10.5,2.2,34.4,16.6,58.2,30.5,1023.3,993.6,No
13.8,43.7,ESE,63.2,73.3,990.7,10.1,7.5,1.4,0.1,49.4,37.6,95.8,95.7,1016.2,995.4,No
15.8,37.6,ENE,46.9,86.0,982.9,27.2,92.5,13.0,12.7,16.0,19.0,98.2,57.1,1016.4,987.8,Yes
1.0,41.4,W,49.7,41.3,1001.8,20.2,21.3,8.5,11.3,35.5,14.1,98.2,96.6,1024.6,1022.6,No
-3.7,37.3,W,47.2,53.0,993.0,18.9,43.6,6.5,11.8,13.6,11.9,93.4,92.1,1004.6,1000.8,No
14.9,34.1,NNE,61.1,89.4,1024.2,20.5,1.5,3.1,2.6,22.0,0.2,64.9,73.0,1003.5,1028.8,No
5.3,23.8,NNE,30.0,86.7,993.1,22.4,91.1,6.8,7.3,27.0,42.7,39.0,61.8,1027.3,1012.6,Yes
-4.4,29.3,ESE,16.1,92.5,1023.4,34.9,48.1,5.2,9.8,26.2,43.0,36.6,24.9,1026.1,1029.0,No
24.7,53.0,SSE,55.0,43.2,1008.2,19.2,83.4,8.6,7.3,8.0,14.2,33.2,21.4,1013.5,984.8,No
